Country Name,Country Code,"2020 [YR2020] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2020 [YR2020] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"2021 [YR2021] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2021 [YR2021] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"2022 [YR2022] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2022 [YR2022] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"2023 [YR2023] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2023 [YR2023] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"2024 [YR2024] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2024 [YR2024] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS]
Afghanistan,AFG,61.454,15.53361416,60.417,21.508461,65.617,23.0881691,66.035,..,..,..
Albania,ALB,77.824,7.50389433,76.844,7.39913177,78.769,6.19368076,79.602,..,..,..
Algeria,DZA,73.257,5.63831711,75.208,5.0110569,76.129,3.6230433,76.261,..,..,..
American Samoa,ASM,72.672,..,72.708,..,72.752,..,72.852,..,..,..
Andorra,AND,79.418,8.78673935,82.331,8.33450699,84.016,7.53678846,84.041,7.92821121,..,..
Angola,AGO,63.116,3.27488494,62.958,3.09277129,64.246,2.92737579,64.617,..,..,..
Antigua and Barbuda,ATG,77.161,5.72944784,77.197,4.99196768,77.483,5.7299943,77.598,..,..,..
Argentina,ARG,75.878,10.45030594,73.948,10.03832245,75.806,9.86305332,77.395,..,..,..
Armenia,ARM,73.3756097560976,12.24056244,72.2780487804878,12.32268524,74.7658536585366,9.96212864,77.4658536585366,..,..,..
Aruba,ABW,75.406,..,73.655,..,76.226,..,76.353,..,..,..
Australia,AUS,83.2,10.66040134,83.3,10.42525291,83.2,9.92687893,83.0512195121951,..,..,..
Austria,AUT,81.1926829268293,11.31641102,81.190243902439,12.15228558,81.2951219512195,11.15729332,81.5414634146342,10.87779903,..,..
Azerbaijan,AZE,70.312,5.84817696,70.999,4.68526697,74.125,3.97840643,74.429,..,..,..
"Bahamas, The",BHS,72.994,7.59303093,70.752,7.0057478,74.491,7.21692038,74.552,..,..,..
Bahrain,BHR,78.683,4.7196188,78.083,4.49223804,80.992,3.83745313,81.284,..,..,..
